"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC101929777 /// WNT3",0.204778869778869,6.8631067961165,2.26393695769979,0.0256498065633933,0.261622070620566,-3.5137229550909
"TCF15",0.252149877149878,4.89194174757282,2.26389215507272,0.0256526597860869,0.261622070620566,-3.51381164505373
"AP5M1",-0.283222768222769,8.94932038834951,-2.2636854818435,0.0256658252259968,0.261622070620566,-3.51422074890192
"ATP6AP2",-0.131915096915097,8.75074433656958,-2.26344044716252,0.025681442037487,0.261622070620566,-3.51470574472505
"ELK1",0.141778596778597,8.15906148867314,2.26318019576928,0.0256980377863899,0.261622070620566,-3.51522080729221
"TGDS",-0.191314496314497,7.74718446601942,-2.26296144078967,0.0257119946639012,0.261622070620566,-3.51565370333289
"C2CD5",-0.296789516789517,10.4936893203884,-2.26271148187659,0.025727950537524,0.261622070620566,-3.51614830310936
"PSEN1",-0.252921785421786,8.16679611650485,-2.26251352416052,0.0257405931311771,0.261622070620566,-3.5165399720487
"GGPS1",-0.194197379197381,9.15781553398058,-2.2620967207073,0.0257672301554491,0.261622070620566,-3.51736453730709
"HNRNPA1 /// HNRNPA1L2 /// HNRNPA1P10 /// HNRNPA1P33",-0.089758394758395,12.9842718446602,-2.2619557458747,0.0257762450291655,0.261622070620566,-3.51764339796093
"C14orf169",-0.117526617526618,9.02990291262136,-2.26185425492785,0.0257827367520484,0.261622070620566,-3.51784414634567
"PCTP",0.212305487305488,9.05368932038835,2.26182312943626,0.0257847279368549,0.261622070620566,-3.5179057107304
"ADAM11",0.118714168714169,7.06203883495146,2.26101322584322,0.0258365871839334,0.261951594741831,-3.51950738480746
"C1orf61",0.195126945126945,8.05266990291262,2.26001804531917,0.0259004352373701,0.262207799165913,-3.52147475923594
"PLD1",0.151883701883702,6.0221359223301,2.26001455504578,0.0259006594070658,0.262207799165913,-3.52148165779595
"C17orf85",-0.267948402948403,8.83601941747573,-2.25937705047174,0.0259416329500736,0.262426024940303,-3.52274153144629
"ARMCX1",-0.280155610155611,8.84330097087379,-2.25886758227832,0.0259744182285528,0.262561153596777,-3.52374814266951
"SALL2",-0.19522932022932,8.07699029126214,-2.25746282464093,0.0260650054495883,0.263056370180751,-3.5265226176146
"AGTR2",-0.138980343980344,5.46022653721683,-2.25707996804364,0.0260897423383678,0.263056370180751,-3.5272785119874
"NMD3",0.273558558558558,9.54660194174757,2.25694832050022,0.0260982530214395,0.263056370180751,-3.52753840420539
"LRRC37A2 /// LRRC37A4P",0.223918918918919,4.73543689320388,2.25681762764594,0.0261067043941669,0.263056370180751,-3.52779639825304
"TRIM26",-0.240778050778051,8.82320388349514,-2.25656363182211,0.0261231361302096,0.263056370180751,-3.52829775997098
"LCAT",0.174045864045864,4.55009708737864,2.25630012475478,0.0261401927600998,0.263056370180751,-3.52881784233481
"S1PR5",0.415429975429976,2.81650485436893,2.25507950256499,0.0262193302329716,0.263494550878877,-3.53122626547766
"NAALADL1",0.390753480753481,2.93339805825243,2.25446516772221,0.0262592392467412,0.263494550878877,-3.53243797339899
"KIAA1324",-0.581740376740377,7.53087378640777,-2.25407843449016,0.0262843898901177,0.263494550878877,-3.53320061003087
"FOLR3",0.162669942669943,6.08873786407767,2.25403725474852,0.0262870691993949,0.263494550878877,-3.53328180941761
"NARS2",-0.33421375921376,8.47766990291262,-2.25397126283188,0.0262913633816134,0.263494550878877,-3.53341193137772
"NUP133",-0.226257166257167,9.83660194174757,-2.25361186810712,0.0263147604721813,0.263494550878877,-3.53412052090341
"PEX1",-0.204002866502867,7.46436893203883,-2.25343255329258,0.0263264409366432,0.263494550878877,-3.53447402346165
"RAD54L",0.21473791973792,8.51456310679612,2.2529879869834,0.0263554193351208,0.263494550878877,-3.53535033577403
"TBR1",0.222207207207207,7.21815533980583,2.25262341363257,0.0263792043725922,0.263494550878877,-3.53606885303873
"TACR1",0.136228501228501,6.78757281553398,2.25235539658536,0.0263967020026645,0.263494550878877,-3.53659700622941
"VAV2",0.159383701883702,8.06733009708738,2.25233251640273,0.026398196218276,0.263494550878877,-3.5366420911983
"DDX3Y",-0.424166666666667,5.14179611650485,-2.25158932170289,0.0264467716992364,0.263743606990705,-3.53810631853679
"CLUAP1",-0.16957411957412,7.49014563106796,-2.25135386360262,0.0264621776603327,0.263743606990705,-3.53857012278774
"SPINT3",0.165687960687961,5.18815533980583,2.25082615730548,0.0264967339130414,0.263744856745864,-3.53960943781614
"ASIC4",0.15977067977068,7.2395145631068,2.25075597046811,0.0265013329974756,0.263744856745864,-3.5397476539573
"TMEM251",-0.297911547911548,7.65116504854369,-2.25009578801353,0.0265446265652446,0.263873559338577,-3.54104753535763
"SORD",-0.477780507780508,8.52533980582524,-2.2497563097983,0.026566913050072,0.263873559338577,-3.5417158253388
"SNX27",-0.192264537264538,7.82563106796117,-2.24966609037757,0.0265728386429747,0.263873559338577,-3.54189341422967
"NMRK2",0.272502047502048,8.97349514563107,2.24791868135789,0.0266878367640475,0.264653705102898,-3.54533177032656
"GPR15",-0.14995085995086,6.85067961165049,-2.2478772898866,0.0266905660418239,0.264653705102898,-3.54541318671444
"HIST1H4I",-0.117731367731368,7.31922330097087,-2.24662507278098,0.026773250626707,0.265115065252684,-3.54787564130239
"GPR161",0.159406224406225,6.52983818770227,2.24621919133154,0.0268000993117756,0.265115065252684,-3.54867353257882
"EML1",-0.282162162162163,6.99364077669903,-2.24604462796482,0.0268116537692137,0.265115065252684,-3.54901665347616
"ANXA13",0.280192465192465,7.8826213592233,2.24598562710518,0.0268155600592245,0.265115065252684,-3.54913261985454
"RBM6",-0.241715806715806,9.13029126213592,-2.24543517479628,0.0268520280703393,0.265154651176355,-3.55021440363203
"CD302 /// LY75 /// LY75-CD302",-0.492526617526618,7.66019417475728,-2.24481303265978,0.0268932978915301,0.265154651176355,-3.55143678974863
"SIRT1",-0.267371007371008,9.5221359223301,-2.24473479412742,0.0268984917778157,0.265154651176355,-3.55159049141083
"FAM182A /// FAM182B /// FAM27B /// FAM27C",0.146830466830467,5.74456310679612,2.24445368136071,0.0269171607753155,0.265154651176355,-3.55214270510868
"CHD3",-0.259301801801802,7.03101941747573,-2.24444615925831,0.02691766048198,0.265154651176355,-3.55215748055927
"EIF4ENIF1",-0.189488124488125,7.63844660194175,-2.24384064428783,0.026957912580567,0.265357748380454,-3.55334673020949
"RPL30",-0.105495495495496,13.2554368932039,-2.24326748820956,0.0269960621489936,0.265368050763573,-3.55447216013827
"DDX52",-0.181094731094731,7.31757281553398,-2.24306668452225,0.0270094389262755,0.265368050763573,-3.55486639031027
"RGS11",0.174957002457002,5.8326213592233,2.24294025081906,0.0270178644358621,0.265368050763573,-3.55511459646164
"LINC00339",-0.224762489762489,7.90456310679612,-2.24124490043596,0.0271310646890913,0.266202487924004,-3.55844157861392
"SLC25A21",0.22064701064701,7.22077669902913,2.24071778579509,0.0271663451896338,0.266202487924004,-3.55947553543362
"GJB3",0.121917826917827,6.93980582524272,2.24052525852836,0.0271792413124487,0.266202487924004,-3.55985313094981
"ZNF75D",-0.127063882063883,7.10844660194175,-2.24048993340108,0.0271816080899094,0.266202487924004,-3.5599224094459
"SNW1",-0.248708026208026,9.54558252427185,-2.24011519996628,0.0272067262771205,0.266255543544738,-3.56065726402094
"TAF5",-0.222051597051597,6.88796116504854,-2.23863912610038,0.0273058645057015,0.267032386971458,-3.56355077814166
"DROSHA",-0.215081900081901,9.76349514563107,-2.23818681671924,0.0273363063945559,0.26704366333572,-3.56443708644534
"RAPGEF4",-0.281842751842752,5.92330097087379,-2.23787948049506,0.02735700806514,0.26704366333572,-3.56503922530287
"PCDHA2",0.257964782964783,5.2652427184466,2.23774167666348,0.027366294762854,0.26704366333572,-3.56530918897516
